product_id,vendor_id,market_date,customer_id,quantity,cost_to_customer_per_qty,transaction_time,customer_first_name,customer_last_name,customer_zip,product_name,product_size,product_category_id,product_qty_type,product_category_name,vendor_name,vendor_type,vendor_owner_first_name,vendor_owner_last_name,market_day,market_week,market_year,market_start_time,market_end_time,special_notes,market_season,market_min_temp,market_max_temp,market_rain_flag,market_snow_flag,booth_number,booth_price_level,booth_description,booth_type
1,7,03-07-2019,14,0.99,6.99,17:32:00,William,,22801,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,03-07-2019,14,2.18,6.99,18:23:00,William,Lopes,22801,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,03-07-2019,15,1.53,6.99,18:41:00,Darrell,Messina,22801,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,03-07-2019,16,,6.99,18:18:00,,Nieves,22801,Habanero Peppers - Organic,,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,03-07-2019,22,0.66,6.99,17:34:00,George,Rai,22801,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,06-07-2019,4,0.27,,12:20:00,Deanna,Washington,22802,Habanero Peppers - Organic,medium,1,lbs,,Marco's Peppers,,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,06-07-2019,12,3.6,6.99,09:33:00,Jack,Wise,22821,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,06-07-2019,14,3.04,6.99,13:05:00,William,Lopes,22801,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,06-07-2019,23,1.49,6.99,12:26:00,Alvin,Laurie,22808,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,,06-07-2019,23,2.56,6.99,12:46:00,Alvin,Laurie,22808,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
,7,10-07-2019,3,2.48,6.99,18:40:00,Bob,Wilson,22821,,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,10-07-2019,4,2.13,6.99,18:06:00,Deanna,Washington,22802,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,10-07-2019,8,2.71,,18:35:00,Norma,Valenzuela,22821,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,10-07-2019,23,3.61,6.99,18:56:00,Alvin,Laurie,22808,Habanero Peppers - Organic,,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,,13-07-2019,2,4.24,6.99,09:02:00,Manuel,Diaz,22821,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,13-07-2019,5,0.71,6.99,13:43:00,Abigail,Harris,22801,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,13-07-2019,10,2.34,6.99,,Russell,,22803,Habanero Peppers - Organic,medium,1,,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,13-07-2019,10,2.28,6.99,10:29:00,Russell,Edwards,22803,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,13-07-2019,24,0.65,6.99,12:52:00,Dawn,Nale,22801,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,17-07-2019,,3.03,6.99,18:44:00,Deanna,Washington,22802,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,17-07-2019,5,4.11,6.99,16:30:00,Abigail,Harris,22801,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,20-07-2019,1,2.09,6.99,12:48:00,Jane,Connor,22801,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,20-07-2019,1,4.93,6.99,13:00:00,Jane,Connor,22801,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,20-07-2019,15,0.02,6.99,12:04:00,Darrell,Messina,22801,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,20-07-2019,21,2,6.99,11:33:00,Duane,Sipp,22801,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,24-07-2019,14,0.39,6.99,17:16:00,William,Lopes,22801,Habanero Peppers - Organic,medium,,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,,Bokashi,,,,,,,,,,,,,,,
1,,24-07-2019,19,2.74,6.99,17:30:00,Iva,Kienzler,22804,Habanero Peppers - Organic,,1,,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,27-07-2019,13,1.15,6.99,09:08:00,Jeremy,Gruber,22804,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,27-07-2019,17,1.55,6.99,13:58:00,Carlos,Diaz,22802,Habanero Peppers - Organic,medium,,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
,7,27-07-2019,24,3.04,6.99,09:37:00,Dawn,Nale,22801,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
1,7,31-07-2019,3,2.64,6.99,18:36:00,Bob,Wilson,22821,Habanero Peppers - Organic,medium,1,lbs,Fresh Fruits & Vegetables,Marco's Peppers,Fresh Focused,Marco,Bokashi,,,,,,,,,,,,,,,
